WEBSITE_NM,WEBURL,CNT,STA_SDATE,STA_EDATE
APEX,www.apexcoins.online,2,2022/11/14,2022/11/20
APEX,www.tw-apex-coins.top,2,2023/01/04,2023/01/10
ARCH,meta.archtntn.com,2,2022/05/09,2022/05/15
ARCH,mkp.archinux.com,3,2023/02/08,2023/02/14
ARCH,mkp.richenkrents.com,3,2023/01/11,2023/01/17
ARCH,mkp.richenkrents.com,2,2022/12/26,2023/01/03
ARCH,mvs.richenraents.com,2,2023/02/22,2023/02/28
ARCH,nft.archtntn.com,4,2022/06/13,2022/06/19
ARCH,nft.archtntn.com,3,2022/06/06,2022/06/12
ARCH,nft.richenatets.com,2,2022/11/21,2022/11/27
ARCH,nft.richenxtds.com,2,2022/07/18,2022/07/24
AREA（AER）,qwmloop.top,2,2022/02/28,2022/03/06
AREX,arexr99.arexr.com,5,2023/04/25,2023/04/30
AREX,arexr99.arexr.com,3,2023/04/04,2023/04/10
AREX,arexr99.arexrs.com,2,2023/04/11,2023/04/17
AREX,www.arexious.com,4,2023/05/01,2023/05/07
ARQCDC,www.arqcdc.com,2,2022/09/05,2022/09/11
ARQCDC,www.arqcdc.com,2,2022/08/29,2022/09/04
ARQCDC,www.arqcdc.com,2,2022/07/25,2022/07/31
ASOS,tw.asosasts.com,2,2023/03/29,2023/04/03
ASX,www.basinvs.com,2,2023/04/25,2023/04/30
ATFX,atfx-tw886.cn.com,3,2022/03/21,2022/03/27
ATFX,atfxwealthbtc.com,2,2022/04/18,2022/04/24
ATFX（TFX）,intimemtfx.com,4,2022/01/24,2022/02/06
ATFX（TFX）,intimemtfx.com,3,2022/01/17,2022/01/23
ATFX（TFX）,www.infoatfx.com,5,2022/01/03,2022/01/09
ATFX（TFX）,www.infoatfx.com,3,2021/12/27,2022/01/02
AU8,app.88au8.com,2,2022/05/23,2022/05/29
AVAX,www.avax-financemax.com,3,2022/10/10,2022/10/16
AVAX,www.avax-financemax.com,3,2022/09/26,2022/10/02
AVAX,www.avax-max.com,2,2022/10/24,2022/10/31
AVAX,www.avax-max.com,4,2022/10/17,2022/10/20
AVAX,www.avax-tradeplus.com,2,2022/12/05,2022/12/11
AVAX,www.avax-tradeplus.com,2,2022/11/07,2022/11/13
AVAX,www.avax-tradepro.com,2,2022/11/28,2022/12/04
AVIS,winner.avisxcrypto.com,2,2022/11/07,2022/11/13
AWDC,art.awdcx.com,5,2023/03/01,2023/03/07
AWDC,art.awdcx.com,4,2023/02/22,2023/02/28
AWDC,www.awdcx.com,2,2023/03/08,2023/03/14
AWDC,www.first.awdcx.com,4,2023/03/15,2023/03/21
AXT,www.axtdjbe.com,2,2023/01/04,2023/01/10
AXT,www.axtewbv.com,2,2023/03/01,2023/03/07
AXT,www.axtewbv.com,4,2023/02/22,2023/02/28
AXT,www.axtfhio.com,6,2023/01/18,2023/01/31
AXT,www.axtfhio.com,3,2023/01/11,2023/01/17
AXT,www.axtkbo.com,5,2023/02/08,2023/02/14
AXT,www.axtkbo.com,6,2023/02/01,2023/02/07
AXT,www.axtvinu.com,2,2023/04/04,2023/04/10
AXT,www.meaxt.com,2,2022/12/26,2023/01/03
AZY-Shpooing,www.azyshopping.tw,2,2022/05/23,2022/05/29
AZY-Shpooing,www.azytws.com,2,2022/05/30,2022/06/05
Aavae,aava5defi.xyz,3,2022/04/04,2022/04/10
Aavae,aavadefipro.com,3,2022/08/08,2022/08/14
Aavae,www.aavadefi.com,3,2022/07/04,2022/07/10
Aavae,www.aavae1.xyz,2,2022/02/28,2022/03/06
Aavae,www.aavedefi-pro.com,2,2022/06/27,2022/07/03
Aavae,www.aavemarket-pro.com,2,2022/08/22,2022/08/28
Aavae,www.aaveprox.com,2,2022/08/15,2022/08/21
Aavae,www.aavespro.com,4,2022/06/20,2022/06/26
Abelen,aa5265.com,3,2022/12/19,2022/12/25
Aberdeen Investment Letter,hre.twaberd.com,3,2022/12/12,2022/12/18
Aberdeen Investment Letter,wdd.twaberd.com,2,2022/12/26,2023/01/03
Aberdeen Investment Letter,wmm.aberiu.com,5,2022/10/24,2022/10/31
Aberdeen Investment Letter,wsd.aberiu.com,2,2022/12/19,2022/12/25
Aberdeen Investment Letter,wsd.rberale.com,4,2022/11/01,2022/11/06
Accurate Investment,velocity.nyseurex.com,2,2021/12/27,2022/01/02
Achieve Goals,www.awant1818.xyz,4,2022/03/07,2022/03/13
Achieve Goals,www.hronxr9.xyz,4,2022/05/09,2022/05/15
Aclarin,gocted.aclarines.com,5,2023/05/01,2023/05/07
Aclarin,gocted.aclarines.com,3,2023/04/25,2023/04/30
Aclarin,tcsomen.aclarin.com,6,2023/04/18,2023/04/24
Activ Trades,activtradestw.net,3,2022/05/23,2022/05/29
Activ Trades,activtradestw.net,2,2022/05/16,2022/05/22
Activ Trades,www.activtradestww.com,3,2022/07/04,2022/07/10
Activ Trades,www.activtradetw.com,2,2022/07/25,2022/07/31
Advanced,www.adrvnecd.com,3,2022/01/17,2022/01/23
Aeonco購物,twaeonco.com,2,2023/01/11,2023/01/17
Aeonco購物,twwelcome.com,3,2023/03/22,2023/03/28
Aeonco購物,welcomeaeon.com,3,2023/03/15,2023/03/21
Aeonco購物,www.tw-aeonco.com,2,2023/02/22,2023/02/28
Aeonco購物,www.welcome-tw.com,3,2023/04/18,2023/04/24
Aeonco購物,www.welcome-tw.com,2,2023/04/11,2023/04/17
Aetos,appskqtat3fihbjy.jiabohao.com,2,2022/01/03,2022/01/09
Aisagolden,wealth.aisagoldmxs.com,3,2023/02/22,2023/02/28
Aisagolden,wealth.aisagoldmxs.com,7,2023/02/15,2023/02/21
Aisagolden,www.aisagoldmxs.com,2,2023/03/15,2023/03/21
Allianz,eaisecurities.com.tw,2,2022/09/26,2022/10/02
Allianz,eaisecurities.com.tw,4,2022/09/19,2022/09/25
AllsCoin,h5.allscoin.com,2,2022/05/30,2022/06/05
AllsCoin,www.allscoin.com,4,2022/06/06,2022/06/12
Ally,h5.usallygroup.com,6,2022/08/29,2022/09/04
Ally,h5.usallystock.com,5,2022/08/22,2022/08/28
Ally,h5.usallystock.com,6,2022/08/15,2022/08/21
Aly Financial,user.alyforex.co,2,2022/05/09,2022/05/15
Aly Financial,user.alyforex.com,2,2022/05/23,2022/05/29
Amana,h5.tw-amana-pro.com,3,2022/10/17,2022/10/20
Amana,h5.tw-amana-pro.com,4,2022/09/26,2022/10/02
Amana,h5.tw-amana.com,2,2023/04/18,2023/04/24
Amana,h5.tw-amana.com,3,2022/08/29,2022/09/04
Amana,www.amana-exchange.com/down,2,2022/08/08,2022/08/14
Amazon,0963084.space,2,2022/08/29,2022/09/04
Amazon,0963084.space,3,2022/08/22,2022/08/28
Amazon,amazomn.cc,2,2023/03/08,2023/03/14
Amazon,amazondw.bihui188.com,3,2022/07/18,2022/07/24
Amazon,amazons6.com,2,2023/05/01,2023/05/07
Amazon,dw.amazonshop.work,2,2022/03/07,2022/03/13
Amazon,dw.chilize.me,3,2022/02/21,2022/02/27
Amazon,shoppingmall77.xyz,6,2022/08/01,2022/08/07
Amazon,shoppingmall99.xyz,6,2022/07/25,2022/07/31
Amazon,www.amabionzshhell.com,3,2023/01/18,2023/01/31
Amazon,www.amazon24.vip,2,2023/04/18,2023/04/24
Amazon,www.amazon24.vip,3,2023/03/15,2023/03/21
Amazon,www.amz-1.com,4,2022/11/01,2022/11/06
Amazon,www.amz-5.com,3,2022/11/07,2022/11/13
Amazon,www.amz-magic.com,4,2022/12/19,2022/12/25
Amazon,www.amzbizunis.com,3,2022/12/26,2023/01/03
Amazon,www.amzbuy.store,3,2022/10/24,2022/10/31
Amazon,www.amzbuy.store,3,2022/10/17,2022/10/20
Amazon,www.amzsan.com,3,2022/10/03,2022/10/09
Amazon,www.amzshop.homes,5,2022/12/05,2022/12/11
Amazon,www.buyamzz.com,8,2023/01/11,2023/01/17
Amazon,www.buyamzz.com,8,2022/12/12,2022/12/18
Amazon,www.buyamzz.com,9,2022/11/21,2022/11/27
Amazon,www.opamzss.com,5,2022/11/28,2022/12/04
AmbToken,amb267.com,3,2023/02/22,2023/02/28
Amcor,gbp.amcorx.com,6,2022/02/07,2022/02/13
Amcor,gbp.annrc.com,3,2022/04/11,2022/04/17
Amcor,mwlkd.amcorc.com,9,2022/01/24,2022/02/06
Amcor,mwlkd.annmrx.com,6,2022/01/17,2022/01/23
Amcor,mwlkd.annrc.com,7,2022/02/28,2022/03/06
Amcor,pm.annmr.com,2,2021/12/27,2022/01/02
Amcor,pm.annrc.com,2,2022/02/21,2022/02/27
Amcor,tigerlord.annmrx.com,6,2022/01/10,2022/01/16
Ammmine,ammmine.org,4,2022/02/28,2022/03/06
Amundi,pn3.sechcn.com,2,2022/02/21,2022/02/27
Amundi,pn3.sechcn.com,2,2022/02/07,2022/02/13
Angela,cs.tahark.top,5,2023/04/18,2023/04/24
Angelqa,www.ncrncy.com,2,2023/04/25,2023/04/30
Anhe Metal交易,sfa.visoser.com,3,2023/03/08,2023/03/14
Anybuy,anybuymall.com,6,2023/02/22,2023/02/28
Anybuy,anybuymall.com,2,2023/02/15,2023/02/21
Anybuy,anybuyshops.com,2,2023/02/01,2023/02/07
Anybuy,anybuyshops.vip,2,2023/03/15,2023/03/21
Appletw,2.applettwts.com,2,2022/11/21,2022/11/27
Appletw,sx09.appleotws.com,2,2022/10/10,2022/10/16
Aqueduct,www.aqdglobals.com,2,2022/12/26,2023/01/03
Aqueduct,www.aqdgroups.com,6,2023/01/18,2023/01/31
Aqueduct,www.aqdgroups.com,11,2023/01/11,2023/01/17
Archlinux,mkp.archnnesy.com,3,2023/03/15,2023/03/21
Archlinux,mkp.archnnesy.com,4,2023/03/08,2023/03/14
Asset account,appdd.me/index/polite/index_trc.html?agent=10333,2,2022/05/16,2022/05/22
Athenaplace Finance Ltd,athenaplace.net,3,2022/05/09,2022/05/15
Athenaplace Finance Ltd,athenna-forex.com,3,2022/08/01,2022/08/07
Athenaplace Finance Ltd,fanti.athenafort.com,7,2022/06/06,2022/06/12
Athenaplace Finance Ltd,www.a-thenafx.com,6,2022/06/13,2022/06/19
Athenaplace Finance Ltd,www.athena-forex.com,6,2022/07/11,2022/07/17
Athenaplace Finance Ltd,www.athenahk.com,2,2022/10/24,2022/10/31
Athenaplace Finance Ltd,www.athenahk.com,2,2022/08/29,2022/09/04
Athenaplace Finance Ltd,www.athenahk.com,3,2022/08/22,2022/08/28
Athenaplace Finance Ltd,www.athenaplacefinance.com,5,2022/07/18,2022/07/24
Athenaplace Finance Ltd,www.athenaplacevip.com,2,2022/05/23,2022/05/29
Athenaplace Finance Ltd,www.fx-athenafx.com,2,2022/11/21,2022/11/27
Athenaplace Finance Ltd,www.fx-athenafx.com,2,2022/11/07,2022/11/13
Athenaplace Finance Ltd,www.fx-athenafx.com,7,2022/08/08,2022/08/14
Athenaplace Finance Ltd,www.fxathaplace.com,2,2022/10/03,2022/10/09
Athenaplace Finance Ltd,www.fxathena.com,5,2022/06/27,2022/07/03
Athenaplace Finance Ltd,www.fxathena.com,6,2022/06/20,2022/06/26
Athenaplace Finance Ltd,www.fxathenafx.com,3,2022/09/05,2022/09/11
Athenaplace Finance Ltd,www.fxathenafx.com,6,2022/07/04,2022/07/10
Athenaplace Finance Ltd,www.fxathennafx.com,4,2022/08/15,2022/08/21
Athenaplace Finance Ltd,www.miranofx.com,3,2022/09/19,2022/09/25
Ausmet,bdiexchange.ausmetw.com,3,2022/10/03,2022/10/09
Ausmet,overlord.agugm.com,4,2022/09/26,2022/10/02
Ausmet,overlord.ausmetw.com,2,2022/08/29,2022/09/04
AvaTrade,kvictor.bleava.com,2,2022/11/01,2022/11/06
AvaTrade,www.avauur.com,2,2022/09/05,2022/09/11
AvaTrade,www.avauur.com,2,2022/08/29,2022/09/04
Avant Finance,www.avant-vip.online,2,2022/07/25,2022/07/31
A·Z·Y,www.azygww.com,4,2022/05/16,2022/05/22
BAC,h5.coinbac.net,3,2022/07/11,2022/07/17
BAC,h5.coinbac.xyz,2,2022/06/13,2022/06/19
BAC,h5.coinbac.xyz,3,2022/05/23,2022/05/29
BAC,h5.wwbac.net,3,2022/03/21,2022/03/27
BANKCEX,bankcex.com,3,2022/12/19,2022/12/25
BANKCEX,h5.bankcex.club,13,2022/12/05,2022/12/11
BANKCEX,h5.bankcex.com.tw,4,2022/12/26,2023/01/03
BANKCEX,h5.bankcex.com.tw,6,2022/11/21,2022/11/27
BANKCEX,h5.bankcex.com.tw,5,2022/11/14,2022/11/20
BANKCEX,www.bankcex.mobi,13,2022/12/12,2022/12/18
BANKCEX,www.o458jd83.xyz/ZFbuVBtV,4,2022/11/28,2022/12/04
BAS,zhantop.bzeuk.com,2,2022/12/19,2022/12/25
BBS,bbs157.com,6,2022/07/11,2022/07/17
BBS,bbs157.net,3,2022/07/25,2022/07/31
BBS,bbs2001.net,2,2022/08/08,2022/08/14
BBS,bbs2001.net,22,2022/06/13,2022/06/19
BBS,bbs2001.net,8,2022/06/06,2022/06/12
BBS,ibbs168.net,15,2022/06/20,2022/06/26
BBS,ibbs168.top,16,2022/07/04,2022/07/10
BBS,ibbs168.top,19,2022/06/27,2022/07/03
BBS,ibbs168.xyz,8,2022/07/18,2022/07/24
BBTC,api.bbtc.gold,5,2022/01/10,2022/01/16
BCH,app.jinniuios2.com/apps/index/97ec10a349318152,83,2022/01/24,2022/02/06
BCH,file.bchexchanges.com/procoin/BCH.apk,5,2022/02/07,2022/02/13
BCH,www.bchexchanges.com,2,2022/01/17,2022/01/23
BCL,bcl-trade.net,2,2022/10/24,2022/10/31
BCR,www.cunthebcr.com,3,2023/04/18,2023/04/24
BCTEX,www.bbctex.com,2,2021/12/27,2022/01/02
BCTT,bcttan.com,2,2022/12/19,2022/12/25
BCTT,bcttina.com,2,2023/04/04,2023/04/10
BDG,user.bdgvip.com,6,2022/11/28,2022/12/04
BDG,user.bdgvip.com,3,2022/11/21,2022/11/27
BDG,user.fxbdg.com,2,2022/12/19,2022/12/25
BELIVE US,buerap.com,5,2022/10/10,2022/10/16
BELIVE US,bulvs.com,2,2022/08/15,2022/08/21
BELIVE US,bushdk.com,2,2022/12/05,2022/12/11
BELIVE US,bushdk.com,5,2022/11/14,2022/11/20
BELIVE US,www.buerap.com,2,2022/10/03,2022/10/09
BELIVE US,www.buriit.com,2,2022/10/17,2022/10/20
BELIVE US,www.busdiw.com,9,2022/10/24,2022/10/31
BELIVE US,www.busjeo.com,5,2022/11/28,2022/12/04
BELIVE US,www.busjeo.com,7,2022/11/21,2022/11/27
BELIVE US,www.buspre.com,4,2022/11/07,2022/11/13
BELIVE US,www.buspre.com,6,2022/11/01,2022/11/06
BELIVE US,www.buvks.com,3,2022/08/22,2022/08/28
BEONE,wqtdas.cc/WZ36.html,2,2022/08/15,2022/08/21
BFC,www.bfcwo.com,3,2022/05/30,2022/06/05
BFC,www.bfcwoz.com,6,2022/06/20,2022/06/26
BFC,www.bfcwoz.com,5,2022/06/13,2022/06/19
BFC,www.bfcwoz.com,12,2022/06/06,2022/06/12
BG賓果,77ideal.cn/denglu.php,2,2022/12/05,2022/12/11
BIK,app.bikbit.xyz,2,2022/01/03,2022/01/09
BIL遠東派單,wdd.bilyds.com,2,2022/08/01,2022/08/07
BIL遠東派單,wdd.bilyds.com,3,2022/07/25,2022/07/31
BIT SWAP,sss.bitsrose.com,3,2023/03/22,2023/03/28
BIT SWAP,twtw.bitsrose.com,2,2023/03/29,2023/04/03
BIT SWAP,www.bitbfsdf.com,2,2023/03/08,2023/03/14
BITSO,www.bitsoine.com,2,2022/12/05,2022/12/11
BKEI,tvttiy.vip,2,2022/01/10,2022/01/16
BKEI,www.tvttiy.vip,3,2022/02/21,2022/02/27
BKOEX,www.mobile.bkoex.finance,2,2023/02/15,2023/02/21
BLEX,d.kpdwj908.top,3,2022/05/09,2022/05/15
BLEX,www.blexem.com,2,2022/05/16,2022/05/22
BOQ,boqconin.com,2,2022/02/07,2022/02/13
BOQ,wap.boqex.vip,2,2022/05/09,2022/05/15
BOX,www.boxbx888.top,2,2022/11/01,2022/11/06
BOX,www.boxbx888.top,2,2022/10/24,2022/10/31
BOX,www.boxx.cyou,2,2022/10/10,2022/10/16
BRK,brk.foundation,4,2022/12/05,2022/12/11
BRK,brk.ink,3,2022/11/07,2022/11/13
BRK,brk.ink,4,2022/11/01,2022/11/06
BRK,brk.life,3,2022/08/29,2022/09/04
BRK,brk.quest,3,2022/09/12,2022/09/18
BRK,brk.skin,3,2022/11/21,2022/11/27
BRK,brkapp.com,2,2022/07/25,2022/07/31
BRK,brkmart.xyz,3,2022/07/11,2022/07/17
BRK,brkpro.com,3,2022/10/10,2022/10/16
BRK,brkshop.com,2,2022/09/26,2022/10/02
BRK,brkweb.xyz,4,2022/08/08,2022/08/14
BTCBASE,www.btcbase.cc,2,2022/08/01,2022/08/07
BTCH,d.appk56728.xyz/?id=bed56bcc1a1c5212ccaa8a3ab7e96324,3,2022/03/07,2022/03/13
BTCH,d.btchdwl.xyz/?it=bed56bcc1a1c5212ccaa8a3ab7e96324,2,2022/03/21,2022/03/27
BTCH,www.btchdwko.cc,6,2022/03/14,2022/03/20
BTF,www.bitfortuneipts.com,2,2022/12/12,2022/12/18
BTF,www.bitfortuneiptx.com,2,2022/12/05,2022/12/11
BTF,www.bitfortunexrxx.com,4,2022/10/17,2022/10/20
BTF,www.bitfortunexxx.com,2,2022/09/26,2022/10/02
BTF,www.bitfortunexxx.com,4,2022/09/19,2022/09/25
BTIG,www.btigx.com,2,2022/08/29,2022/09/04
BTMIN,www.btmineex.com,6,2023/01/18,2023/01/31
BTMIN,www.btminepx.com,11,2023/01/04,2023/01/10
BTMIN,www.btminja.com,5,2023/01/11,2023/01/17
BTMIN,www.btminka.com,2,2022/12/12,2022/12/18
BTMIN,www.btminlu.com,5,2022/12/26,2023/01/03
BTMIN,www.btminza.com,2,2022/11/21,2022/11/27
BTX,bitcore168.com,2,2022/09/05,2022/09/11
BTX,cryptobtx.com,2,2023/03/15,2023/03/21
BTX,cryptobtx.com,2,2023/03/01,2023/03/07
BTX,cryptobtx.com,3,2023/02/22,2023/02/28
BTX,www.btxcoin.pro,2,2023/05/01,2023/05/07
BTX Exchange,bitcorecrypto.cc,2,2022/04/04,2022/04/10
BTX Exchange,cryptocurrencytradebitcored.com,2,2022/07/18,2022/07/24
BUX Markets,m.buxmarkets.vip,2,2022/04/04,2022/04/10
BV玩電商,bvgoing.com,3,2022/09/05,2022/09/11
BW,bwcryptos.com,5,2023/03/01,2023/03/07
BW,dejhq.com/1x9mH,3,2022/11/21,2022/11/27
BW,dejhz.com/1x9mh,2,2022/11/14,2022/11/20
BW,wap.bwap.vip,2,2022/02/07,2022/02/13
BW,wwheyue.com,2,2023/03/08,2023/03/14
BW,www.bwos.vip,3,2022/01/24,2022/02/06
BW Trade,pzkd3.com/1x9mH,2,2022/12/26,2023/01/03
BYBIT,bybit.bitby01.com,2,2023/01/11,2023/01/17
Bakkt.co,baktta.com,2,2022/05/23,2022/05/29
Bakkt.co,www.bakkts.com,3,2022/04/18,2022/04/24
